,quadratAllTime,quadratIndYear,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
174,,THBUGM1-5,,,,,,1,1,1,1,1,1,1,,,,,,
175,,THBUGM1-6,,,,,,1,1,1,1,1,1,1,,,,,,
176,,THBUGM1-7,,,,,,1,1,1,1,1,1,1,,,,,,
177,,THBUGM1-8,,,,,,1,1,1,1,1,1,1,,,,,,
178,,THBUGM1-9,,,,,,1,1,1,1,1,1,1,,,,,,
179,,THBUGM2-1,,,,,,1,1,1,1,1,1,1,,,,,,
180,,THBUGM2-10,,,,,,1,1,1,1,1,1,1,,,,,,
181,,THBUGM2-2,,,,,,1,1,1,1,1,1,1,,,,,,
182,,THBUGM2-3,,,,,,1,1,1,1,1,1,1,,,,,,
183,,THBUGM2-4,,,,,,1,1,1,1,1,1,1,,,,,,
184,,THBUGM2-5,,,,,,1,1,1,1,1,1,1,,,,,,
185,,THBUGM2-6,,,,,,1,1,1,1,1,1,1,,,,,,
186,,THBUGM2-7,,,,,,1,1,1,1,1,1,1,,,,,,
187,,THBUGM2-8,,,,,,1,1,1,1,1,1,1,,,,,,
188,,THBUGM2-9,,,,,,1,1,1,1,1,1,1,,,,,,
189,,THC1-01,,,,,,,,,,,,,,,1,1,1,1
190,,THC1-02,,,,,,,,,,,,,,,1,1,1,1
191,,THC1-03,,,,,,,,,,,,,,,1,1,1,1
192,,THC1-04,,,,,,,,,,,,,,,1,1,1,1
193,,THC1-05,,,,,,,,,,,,,,,1,1,1,1
194,,THC1-06,,,,,,,,,,,,,,,1,1,1,1
195,,THC1-07,,,,,,,,,,,,,,,1,1,1,1
196,,THC1-08,,,,,,,,,,,,,,,1,1,1,1
197,,THC1-09,,,,,,,,,,,,,,,1,1,1,1
198,,THC1-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
199,,THC1-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,,THC1-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
201,,THC1-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
202,,THC1-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
203,,THC1-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
204,,THC1-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
205,,THC1-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
206,,THC1-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
207,,THC1-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
208,,THC2-01,,,,,,,,,,,,,,,1,1,1,1
209,,THC2-02,,,,,,,,,,,,,,,1,1,1,1
210,,THC2-03,,,,,,,,,,,,,,,1,1,1,1
211,,THC2-04,,,,,,,,,,,,,,,1,1,1,1
212,,THC2-05,,,,,,,,,,,,,,,1,1,1,1
213,,THC2-06,,,,,,,,,,,,,,,1,1,1,1
214,,THC2-07,,,,,,,,,,,,,,,1,1,1,1
215,,THC2-08,,,,,,,,,,,,,,,1,1,1,1
216,,THC2-09,,,,,,,,,,,,,,,1,1,1,1
217,,THC2-1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
218,,THC2-10,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,,THC2-2,,,,,1,1,1,1,1,1,1,1,1,1,,,,
220,,THC2-3,,,,,1,1,1,1,1,1,1,1,1,1,,,,
221,,THC2-4,,,,,1,1,1,1,1,1,1,1,1,1,,,,
222,,THC2-5,,,,,1,1,1,1,1,1,1,1,1,1,,,,
223,,THC2-6,,,,,1,1,1,1,1,1,1,1,1,1,,,,
